user_id,Review 1,Review 2,Review 3
#NAME?,,"When we got there, looks like a hole in the wall. Didn't have big expectations, but, I was definitely wrong. The service was awesome and the food..... the food was so good I want to have it for every meal while here. If you're in anew Orleans. Definitely gotta check this out.",
-22PBmQh7bBWbNX1irrkPQ,,"MUST GET: chargrilled oysters

Although I've never had chargrilled oysters, I thought these were amazingggg. I went to Neyow's for chargrilled oysters as well and thought those were good too but I think I liked Acme more. 

Service / servers were nice and friendly. 

Things I didn't love as much:
- Waited 45 minutes to an hour for party of 8. Not a terrible wait but you stand in a cafeteria type like (as opposed to putting your name down)
- jambalaya and gumbo were good but not great

If I come back, it's definitely for the oysters.",
-24qzhOmqf_Aze0tICNd8A,,,"Food was amazing! Definitely a ""go to"" for yummy food and a great vibe! Thanks to our waiter, John!"
-32WtapJvTQrG59p6hgVyg,,"Two words: Gumbo. Poopa.  No, it's not something that happens after a big night of gumbo and beer... it's gumbo in a bread bowl.  Ok, admittedly I've become far too excited about things in bread bowls since coming to the US (mmm, New England Clam chowder...) but who doesn't want to be able to eat the crockery??

Acme is one of those places that is just popular cos it is popular.  The food is great but not spectacular, prices are ok and the drinks list is average but as a package it's got that certain something about it.  It is POPULAR, so expect to have to join the long line outside waiting for a table.  However, you can go inside and order drinks at the bar then wobble back outside to the one person you left in line. Being NOLA, drinking in the street is not only allowed, it's a requirement.

Definitely worth a visit or two!",
-3HYmxW_5Gsg4I0eH3ju-Q,"Hey .. going here from day 1 and just like other top restaurants this place is perfect food wise., service wise and ambiance wise. 

They are doing a hell of a job and their chicken no matter hot , medium or southern is cooked just right. One thing left to try here is the sunday brunch , besides that tried it and place is a rockstar.

I usually order to go in the evenings as there is always a line and the wait can get to 30 minutes. So pick it up go home and get your fingers dirty.",,
-3WDAOZFrQkXh7kB_PcVgw,,"eeeeh...   not the worst place I've eaten, but come NOLA, you can do better...  Or maybe I just made a bad choice.  

The wait outside the door is not bad at all....  Actually, it moves very fast.  Thought, it's misleading because typically good food will come with a long wait.  Fail....

The service was excellent.  Very attentive, friendly, and made sure we were well taken care of.  Though, I never weigh any review on service.  Actually, bad service can still get a 4 star review if the food is good.  

We had the gumbo, jambalaya, broiled oysters, oyster shooters, raw oysters and finished it with a banana foster...

Raw Oyster- can't screw that up
Broiled Oysters - Not impressed, all the grease without the flavor
jambalaya- I've had it in a buffet
Gumbo- blah, bland, and had the little salad size cocktail shrimp...

Eat somewhere else, unless you want raw oysters....  or eat there just to say you did.  I'll give it one more chance only because it gets such good reviews...",
-3laRXxBuubKbyzSFMswrA,,"I came here with high expectations and I thought this was way overrated. There was a long line outside of the restaurant at 6 and they told us to stand outside which was fine. For some odd reason, after waiting 5 minutes they led us to our seats so we were pleasantly surprised. The second you walk in, you are overwhelmed w/ the smell of seafood. We ordered a dozen raw and charboiled oysters and they were good. I ordered half oyster/half shrimp po boy which was delicious. The service was ok. We asked for napkins and drinks several times and the waitress  took her time getting it. If I had to choose between Deanie's and Acme, I would DEFINITELY pick Deanie's.",
-3lpj5r-XWYzsk-ulYQkcA,"A Nashville staple and a must-visit when you're here! It's about the experience as much as it is about the food!!!

Everyone kept telling us to come here, and to come here early! When we arrived, it became apparent as to why! We showed up at 10:30am even though they opened at 11am and there was already a long line. We ended up waiting almost an hour and by the time we made it inside, there were no tables left. So we had to make new friends and join another table (thank God for southern hospitality!)

The servings are big! My friends and I all got ""small plates"" of chicken. We tried the medium and hot. The seasoning/breading is where all the heat is - and do not be fooled... the heat is latent and hits you a little after your first bite. I love hot and spicy food, but I was happier with my medium after tasting my hot. I loved the fries and the greens (collards). We also sampled the potato salad, cole slaw, and beans, while enjoying a cold local beer to wash it down. It was all pretty solid and a great experience!",,
-3r0CX7niGCyUnqkKZcmSQ,,"Our first culinary conquest during a bachelor party set an uneasy precedence about restaurants in New Orleans: great food, meh service. But Acme Oyster House's service was by far the worst. It was almost as bad as their food was good!

The charbroiled oysters are going to haunt me until I am able to slam down another half dozen the next time I visit. And the Peacemaker Po'Boy brought a sense of true, pure inner peace only deep fried bivalves could possibly muster.

But then there was the service. SLOOOOOW. And not even the type of slow that occurs to ""inspire"" a table to order another round of beers. Just standard uncaring slowness. When our waitress brought over the wrong dish and I informed her that I ordered the peacemaker she responded with ""no, you didn't."" She produced her scratch pad with indecipherable handwriting trying to convince me, and my table mates who heard my order, that I had not ordered that entree. She brusquely retreated to resubmit my proper order and was shorty called over by our neighboring table to tell her that they did not receive their proper entree either.",
-41S-0Fhh40dYKRyqCzyVQ,"Seriously hot chicken, but not just heat - flavor too.  One of the best spots to get straight up Nashville hot chicken.",,
-42J4Ua39jd8qdf0nnw70w,,We went across the street to Felix's and they had the same oysters. Both of which gave me the ass of a loose faucet.,
-4JpQKfrzO85uxZDPE4vJw,,,"If you're looking for traditional New Orleans food, this is your place! It's a great atmosphere located in the heart of the French quarter. Food is awesome especially the crab cake appetizer and their signature redfish oceana. The staff was awesome and super friendly! I will def be back!"
-4QjN6My0meqBjloBlnVOA,,This place serves the most delishish chargrilled oysters I have ever had. We had to wait in line to get in but it was worth every minute of the wait. If you are looking to experience and taste the best oysters DO NOT PASS this place up.,
-4RIHaYziMq84EfR5Df8Jw,,,"Just finished a late light dinner at Oceana. Absolutely satisfied with everything. There was a line, we almost walked away, but chatted with others in line who said it was worth the wait. Line moved very fast, less than 10 minutes. Our server Shahan was professional, prompt, offered insight on what his thoughts on menu, what are the favs. 

We had blackened gator bites and crab cakes (wife had GF), everything was hot, flavorful and seasoned superbly. Washed it down with sweet tea. A+ on this visit, prices are reasonable and nice atmosphere even with kids. We will be coming back for another dinner (or breakfast) before departing the big easy!"
-4_ZG4jv3If2RnNFn293yw,,"Acne Oyster House was delicious. I feel the real winner on the menu is obviously the oysters. The charbroiled oysters were the real standout. We only ordered a dozen to start (since none of us really like oysters) we ended up eating three dozen in total. I will never look at oysters the same. So delicious! The appetizers are pretty good and really reasonably priced. The entrees were good, but not spectacular. The bread pudding with vanilla ice cream was the other item that we could have had ten helpings of. Overall it was a great dining experience and we would highly recommend.",
-594af_E7Z9VVjQc9pJK3g,,"In NOLA for a few days, and we were eager to get some grub!

We tried a bit of everything and thought everything was really good! A pound of crawfish were hot, cooked and seasoned well; raw oysters were huge and fresh; broiled oysters were cooked right and tasted good; red beans, seafood gumbo and jambalaya with a side of soft shell crab were all flavorful!

We invited friends to check it out and they thought ACME was pretty awesome as well. 

Highly suggest you go when they open so you don't have to get in line.",
-5Bo_dnqZTsqf8ZRhsqakA,,,"Ordered the Jambalaya - it was great.  Very good food, atmosphere and service.  I highly recommend it."
-5O9TjkStilD3MU0fdaP2w,"The place runs like a well oiled machine! Don't let the long lines scare you off, it goes pretty quickly. The chicken was really good but so were our side dishes! All the employees were friendly and on point when you would expect them to be annoyed at the huge crowds of people, they made us feel welcomed.",,
-5Oo7-AzHc-tzdNLWIFccQ,"I hadn't heard of Hot Chicken until one of my husbands coworkers mentioned the best Hot chicken place was  in Nashville. We ended up traveling thru Nashville do we decided to try it out. The first location was WAY to crowded. There were 20 plus people standing outside in line. My husband opted to try a second location and it did not disappoint. There was one family in front of us in line which was perfect. The restaurant was buzzing though, it wasn't dead. The  chicken was absolutely amazing. It was crispy on the outside and so juicy inside. My only issue which is a catch 22 it was so hot I couldn't hold the chicken well, like I said a catch 22 because of course I wanted it to be hot. My whole family loved it. I only hope is that we get back to Nashville to have it again.",,
-5QISIFy-jbh8DyS8CTHOg,"Hattie B's!!!!!! I just had to try the fried chicken when we were in Nashville so e waited in line 90 minutes on a hot day and boy was it worth the wait! So much food, you will not leave hungry!",,
-5ye1ya0wRQhNRF9NfQ1fA,,"We came here 10-15-16 mainly for their oysters. The line appeared to be long, however, it moved pretty quick. Sitting at the bar is a good option if there are only 2 people, otherwise I would choose a table. The oysters were big and good flavor. The fried craw puppies and jambalaya were both good sides 4/5.  We attempted to order their hot wings (not on the menu) but they just stopped serving them.
Overall, it's a perfect stop when you're in New Orleans.",
-60C6LUgqKVcaOsvDQeXyA,,"Acme Oyster is one of the rare touristy things that is totally worth it. The chargrilled oysters at Acme have changed my life. I don't think I will enjoy eating anything ever again as much as I enjoyed wolfing down a dozen chargrilled. 

Go with a small party and ask to sit at the bar. My husband and I were pulled from the end of a long line of large groups waiting for a table. It was fun to sit at the bar and watch the guys shuck oysters.",
-6CEeB-DNVlgbK659r0rjA,,,"Stopped here for dinner on my first night in NOLA, and there was a line. When i saw the line i knew this place had to be good. And even though there was a line, the wait was less than 20 min. On the outside it looked small, but in reality its very spacious on the inside. 

For the appetizer we got oysters on the half shell which were very fresh tasting and gator bites which were perfectly seasoned. For the entree i was able to enjoy the Red Fish Oceana. Such a hearty serving with a great crawfish sauce that they put on the top of the fish. My dad got the Taste of NOLA which gave you a sample of everything that NOLA is known for. Both dishes were full of flavor and came out piping hot! For dessert i enjoyed the creme brulee which had the perfect sweetness.

I definitely recommend this as a place to stop if you are visiting NOLA. Service was quick and awesome."
-6Mvirp6cAHgviRZhdmfjw,,,"Need a place that opens early for breakfast in the French Quarters? Look no further. Oceana opens at 8 am and is located right off of Bourbon St. We were seated immediately and given the breakfast menu and the breakfast special menu. I chose to order the Crab Cake Benedict and my friend ordered the Crawfish Omelette Wendall which came with hash browns and a biscuit; both on the specials menu. 

The poached egg on the crab cake benedict was perfect. Once you cut through it, the egg yolk oozes out. The English muffin was also nicely toasted. The crab cake portion was tasty but got a bit too salty as I progressed through it. 

My friend's crawfish omelette wendall was a pretty large omelette. She said there was a lot of crawfish though there were two that looked a little old. The egg was pretty fluffy. 

Service was excellent but I was a little thrown off that our waiter stood a few feet from us the whole time watching us. It was a little unsettling. The bathroom was clean but there aren't toilet seat covers, ladies! Also, Yelpers who check-in currently get 10% off their total bill!"
-6U8UW-DR7mL2HexFfNbfA,,,"Based on good reviews, my husband and I wanted to try Oceana Grill while in New Orleans.  We were able to do breakfast there before starting our day.  It was like a 5 minute walk from our hotel which was really convenient.  We started off with some great bloody Mary's!  Full of flavor and just the right amount of spice!  Loved it!  The food was just as amazing.  I had a special Crab Cake Benedict they had that day with some hash browns.  The crab cakes had so much flavor to them!  My husband had the Royal Omelet (because of the alligator sausage) with grits and a side of creamy pork sausage gravy.  By the look on his face after the first bite I could tell he was in food heaven!  The alligator sausage was juicy and full of flavor!  He even loved the grits with the gravy!  Though we were comfortably full after our meal .... we both had bloody Mary's to go!   That was one the best tasting meals we had while we were in New Orleans!  The service was quick and awesome as well!  Definitely would return if we're ever in NO again!"
-6bsEIMFz6ndaWXaakISSw,"What a great option for quality Nashville hot chicken to go, or to eat there if you decide to. My favorite is the hot chicken sandwich, with juicy chicken perfectly battered with the right amount of spice. You also won't ever go wrong with their pimento Mac and cheese and a side, YUM",,
-6wHx3CYNTVQY8xW9vRraA,"Chicken is good, service is fast. But honesty probably wouldn't come again. NONE of the sides wowed me. The beans were the best (and we tried them all). Banana pudding is a NO. Peach cobbler was a better option. Very very little seating, and to be honest kind of uncomfortable with how cramped it is. Line was long but moved quickly. Chicken is juicy and flavorful but for me I can settle on making this a one and done. I did like the comeback dipping sauce. I got the medium tenders and it's like a warmer buffalo.",,
-6zIYjYga4lQ6MkT57i3nw,,"I must stop here every time I visit NOLA. I'm usually impatient, but I don't mind the lines and I don't mind the tourists. Their chargrilled oysters full of garlicky, cheesy, buttery goodness washed down with an Abita could me by final meal and I would die happy.",
-78RRWJBrFlldvllagVVEw,First Nashville hot chicken experience and it was good. Went with the damn hot chicken sandwich with Mac and cheese. So good. Not overly breaded but good crunch. The comeback sauce is great on it.  The line moves pretty quickly and food comes out super fast.,,
-7VEhf6dK9HIguOFyBWAPQ,,legit oysters.  Some of the best bbq oysters I've ever had.  The bbq oysters are so good I'm thinking about getting a cast iron oyster pan to try and replicate the yumminess.  Super casual place.  Perfect kid place or large group place.,
-7a_ViPlUJ7wsJVdHwXruw,,,"Talk about customer service! Their staff is so friendly and kind. There was a mistake with our order, so my table received a free tray of half a dozen oysters on the rocks. The food was just fine. A lot of fried food on the menu. I had the blackened chicken po boy. It was flavorful and a large portion for the $15 price tag. I would come back here again for the staff and customer service, but can't say that the food was the star of the experience. We went right around 5:30 and got a table right away. By the time we had finished there was a line waiting around the block! A popular place."
#NAME?,Now let me explain. I thought i had lived life before this. Tried plenty of delicious food. Always expanded my array of dishes and flavors. However this chicken changed all of that. I died and went to heaven in this establishment. The hot chicken was so tender and flavorful it lit up my whole life and reignited the passion I felt for food. I got the medium chicken. I'm a person who loves hot sauce and this was the perfect amount of heat and flavor paired together. The fries were unreal out of this world delicious. This is the kind of food that tasted good warmed up the next day. That's when you know this stuff is good. I wish I could eat here every day of my life.,,
-8HoPzdMhM1p3Px8tSxnZQ,,"The only way to get the most out of New Orleans and the French Quarter is to ask someone who has been here for recommendations to the best of the best places to eat, especially when it comes to Oysters and Gumbo, the NOLA famous dishes   Thanks to my good friend Gina P. out of Yelp Fort Lauderdale, I hit a home run on BOTH and then some at Acme Oyster House.  

It is a known fact the Acme can have an extensive waiting line, but I was not going to miss the chance to try it here because word has it that if you want the best Oysters; Raw, Charbroiled or even Oyster Shooters, Acme is IT in the French Quarter.

 Actuality, the line went pretty fast considering the amount of people in front of us.  We met a real nice couple in line with us and decided that if it was faster to get a table of 4, we liked each other enough to sit together and continue to get to know each other.  The hostess and staff that checked on us outside were incredibly friendly and accommodating, so that is what we did. 

The atmosphere is upbeat and gave me that great French Quarter feeling that we were among a lot of happy diners and our server who came over made it even better.  We ordered drinks and it being our first day in the French Quarter I had to have an American Mule to start out my journey.  

I have heard about their Charbroiled Oysters, pretty popular and also wanted to compare ""Oysters to Oysters"" and order a dozen Raw Oysters, so being that my wife does not like them raw, she ordered the Charbroiled and I ordered the Raw to get a chance to share the Charbroiled.  WOW, first time ever having any charbroiled Oysters, but that herb butter the oysters were sitting on, and the bread to dip was magnificent. the flavor of the herb butter alone made this dish a hit.  I could not imagine getting better anywhere else, and I was right, because within the couple days of ordering other types of Charbroiled Oysters, most were served with a heavy garlic and sometimes salty breading, which drowned out the true taste of the oysters. NOT HERE. Simple and delicious. 

The Raw Oysters were the freshest, juicy and tasty oysters I have ever had.  Nice size, served with cocktail sauce, horseradish and lemon, I slowly savored what I thought were definitely the best I have ever had, anywhere. 

As long as we were at Acme Oyster House , which is known to be one of the best restaurants for popular NOLA cuisine, we decided to try other favorites. On the menu was a Half Po Boy and Cup of Soup/Gumbo option and for a great price. There are several choices of Po Boys on the menu such as Ham, Turkey, Roast Beef, Shrimp, Fried Fish, and Grilled Smoked or Hot Sausage.  I opted for the NOLA favorite, the Shrimp Po Boy; a nice healthy portion of fried shrimp served on a fresh roll with lettuce, tomato and pickles.  May I stress, they really were generous with the shrimp.  The Seafood Gumbo was thick with shrimp and crab topped off with white rice.  The Gumbo, after trying others on this trip had the best thickness and generous portions of the shrimp and crab. 

I loved our waitress because she did not make this seem like work for her.  She knew why we were there and had a good time with us.  The place is busy, but never lacked service.  They had that down here.  

I loved this place so much, I had to buy an Acme Oyster House tee shirt for only $20.00.  Speaking of prices, I could not believe how reasonable our bill was considering the quality of food, service and popularity.

DO NOT LET THE LONG LINES FOOL YOU, it is SO  worth it, and it moves a lot quicker than you might think.  I can't wait to WAIT again for this place to get the BEST OF THE BEST NOLA dishes.",
-8hZRpcLXO-arrHDLmkuDA,"This place is AMAZING!!!! Waited in line for about an hour (which was expected, so be sure to plan ahead!) and was not disappointed!! By far the best friend chicken I've ever eaten. I suggest the mac & cheese, it was to die for!! Well worth the wait!",,
-8p9gFWBxU8ZseMJAm86oQ,,,We had just landed and were starving! Most places were closed but Oceana Grill was open and pleased to sit us. We had a great experience and the food was amazing! I had the Shrimp Platter and it was great! Plus a ton of food (very generous portions) This was my second time returning to this restaurant and I will be returning on my next trip to NOLA.
-9OEoNjcLa9nBiu41nHiaQ,"It's easy to see why there's ALWAYS a line here. Most chicken places seem to focus on the sides with the idea that chicken is chicken. That isn't the case here. The chicken is tender and juicy. 
I'm not into super hot, so I'll let others say if it's hot enough. We tried the mild. Sides were ok, but the real appeal here, fittingly, is the chicken.",,
-9P5izxucGrMSU1kBUIR8w,,"Wow... I guess I shouldn't have waited over a year to review this place!  We go here whenever we visit New Orleans and we love it every time.  We always sit at the bar...b/c the line for a table is usually 25 people long out the front door...and it's just better to sit at the bar!  
I love it here...and you will too!",
-9_Nz6wJ9Rj0q7kq6YJ-MA,"Wow the line is LONG. Order online and pick it up, will be much faster. The chicken is worth it. So flavorful, medium was just enough heat for me. The potatoe salad is delish, Mac n cheese is pretty good. You get quite a bit of food with each meal, I couldn't finish mine. Check it out, you won't be disappointed.",,
-9bbOgdO8YCd4FzMm2Y5nA,,"Acmes was the first place we ate at in new orleans! The line was long but it was worth the wait. We got chargrilled oysters to start and the flavor was great! Disappointed in the size of them but i know that sometimes cannot be helped. We also did not really like the server service :( in the beginning he was snappy but he lighten up towards the end! For my entree I got the seafood platter. I did not expect it to be that much food but it was!! The fried oysters were my favorite part!! The seasoning was sooooo good. I would definitely come back! If you're in downtown new orleans, I would go stop in!",
-9iuWpif2Tc9ltyo1POdiA,,Yummy! Raw oysters and char grilled oysters...... both to die for! I ate the char grilled ones but was able to take a picture first. Make sure to grab that bread and dip it in the seasoning from the oysters. The second round of oysters were raw and I couldn't wait long enough to remember to take a picture so all you get is the photo of the empty plate. =),
#NAME?,,,"Ordered crawfish étoufée. Came with a mound of undercooked white rice in the center. And it was hard finding any crawfish floating around in the red sauce. Don't think there was much of it. Was supposed to have been spicy, but it was barely that. Service was fast and friendly, but I'd have gladly waited a few more minutes if it meant avoiding crunchy rice. I walked out hungry and $20 bucks poorer."
#NAME?,,,"AMAZING!!
You cannot leave New Orleans without trying the redfish house dish! I would eat that everyday if I could, and I also loved every aspect of the service"
#NAME?,,,"Stopped here for dinner on our first night in NOLA, after it being recommended by our hotel's concierge. The atmosphere is fun and casual, and the food is great. I had the vegetarian pasta, since I do not eat meat or seafood. It was delicious - made with a Cajun Alfredo sauce. The other two people I was with had seafood platters and said they were stellar. Our waiter, Michael, was excellent. He was very welcoming and informative about the French Quarter area. We had a great conversation with him and the couple next to our table. Overall great experience at Oceana! We will definitely be back."
#NAME?,,"We loved this place! Both grilled and raw oysters amazing, fried oyster and shrimp po-boy was the best. Ask to sit at the bar and experience Hollywood and Stormin Norman! In addition to great food, they provided us with a memorable experience. We tried other oyster restaurants and this was our favorite. Highly recommend and will visit again!",
#NAME?,,,"Food was amazing. I got the seafood platter. I'm not an oyster fan so i got double shrimp instead....the portions were more than enough. I got my order to go, and the food was wrapped sooo nicely that it stayed hot. Only change i would make would be to separate the meat from fries with foil. The condensation makes the food soggy. The cocktail sauce had the perfect spice to it. I ordered a drink to go and the bartender did her thing. Will definitely be returning. Price was worth it once i saw how much food i actually had."
#NAME?,"I ordered the small portion of dark meat - a leg and thigh - with medium spice. The portion size was perfect, and the chicken was juicy and flavorful. I wish I had gone with the hot spice level, though, as medium wasn't very spicy at all. The pimento mac & cheese side was like no other I've had. A surprising flavor that really worked. The black eyed peas salad was a touch oily, but I still enjoyed it. It had a ton of vegetables and a nice tangy zip to it. A note to vegetarians - it is cooked in bacon. I was hosting my work team in from around the country and heavily researched the best hot chicken in Nashville. I highly recommend Hattie B's! The online ordering was super convenient (particularly for a group), and having read how small the place is, the decision to pick it up and eat at Centennial Park was a good one.","You really have to plan your visit to Acme, due to the seemingly endless long lines at all hours of the day. However, we found the sweet spot with a 4:00 pm meal time and were seated very quickly. I love raw oysters and Acme's did not disappoint. Just a warning, they use A LOT of horseradish in the sauce served with the oysters, which made my eyes water but did not diminish my appreciation for them at all. To round out my sampling of every NO specialty I could have on a weekend visit, I also had chicken gumbo and red beans and rice. The gumbo was perfectly acceptable, but nothing out of the ordinary. I really loved the red beans and rice - perfectly cooked with a wonderful blend of spices. Our meal was worth the several failed attempts we made to get in, and I'd recommend it to anyone on their first trip to the city.","Oceana Grill offers a menu with a wide variety of options and is conveniently located in the French Quarter. I had raw oysters, gator tail and crab cakes - ordering off the appetizer menu for a party of two. The oysters were awesome, and they don't go overboard on the horseradish. The crab cakes are a specialty and came highly recommended from a friend who lives in the area. The appetizer portion is two very large cakes. The cake was moist and perfectly cooked, topped with a cream mushroom sauce. I'd never had crab cakes topped with this type of sauce, but it really worked. For the gator tail, we couldn't decide between fried or blackened, so our server suggested we get half and half. They were a bit chewy, but were still very good. I was a little surprised the blackened ones were breaded and fried as well, but the flavor profile was definitely different between the two. We had great, friendly service and were able to walk in at 6:30pm on a Monday night with no wait for a table."
#NAME?,,,"Our first day in New Orleans we were referred to the Oceana for lunch in the French Quarter.  What a wonderful treat for a middle aged couple from the Midwest. The catfish PoBoy was out of this world. The red fish was just as good.  The collard greens were also awesome and won my heart over. I finished the serving wanting for more. The oysters with the sauce (sorry I don't remember it's name , but the dish is an Oceana signature appetizer) was out of this world.  Even my husband. who is not a fan of oysters, finished the sauce on the plate with the bread provided. Make sure you don't miss it. Thank you to our server Errol for all your suggestions and for making our 1st time at Oceana so memorable."
#NAME?,,,"I ate here on a Saturday afternoon with a party of five. The restaurant was fairly empty, yet our service was incredibly slow. We waited ten minutes for refills on our water and when our check came, we waited 15 more minutes for the waitress to return our cards. Not only was the food subpar for New Orleans, but the waitress mischarged my card for 3x the amount of my meal. I was on the phone not only with their accounting department but also with my bank for 2 hours because the waitress overdrafted my account for several days. My bank will not reverse the fee as it was not a banking error, and the restaurant will not take responsibility for their inept waitress. I am highly disappointed with the service I received and will not be returning any time in the future.

Food was too expensive for the quality I received. Southern hospitality my ass."
-Bo3nX8KSLzUSYVS-6c5Ag,,The long line is not worth the wait. Save yourself the time and go somewhere else. When we finally got in and ordered my food was super cold and bland. Part of the reason to come to New Orleans is the food...this was not a good representation! Won't go back!,I've gone a few times. But for some reason this time was the best! My friend and I shared the crawfish fries. Ssssoooo gooooood! My pasta was delicious as well. The hostess and waitress were very pleasant and nice. The waitress was very knowledgeable about the menu and was able to provide recommendations. Will definitely be be back!
-C7MpxOxrm5p9me2MMkL8Q,"Thank you Yelp for another great recommendation! We caught Hattie B.'s at a good time, around 8:30 on a rainy night and there was barely a line. Our uber driver said we were very lucky as it is usually packed. The staff was very friendly and gave us samples of two different local beers when we were having trouble deciding between the two. We got a large white plate, medium that they split between two plates for us. The chicken was spicy but flavorful and they sides were great. We enjoyed the outdoor seating and good music they had playing while finishing our pitcher of local brew. Would definitely go back next time we're in the area.",,
#NAME?,Simply amazing food and friendly service. Chicken tenders were the best I've ever had. Sides were good. Loved by locals and tourists alike. Try it!,,
#NAME?,,"Sit at the bar! It's great watching the shuckers, who are friendly and welcoming. Plus, you're wait will be significantly less. The char broiled oysters are the best we've ever had. Worth every penny!",
#NAME?,"lives upto the hype, good chicken w/ spicy as you want it. giving 4stars instead of 5 cos we found Gus chicken (Memphis) tastier. waited 45 mins on a weekday non-busy time in line lol but overall worth it. V friendly and quick service",,
#NAME?,,,"The wait was not long, the service was great and the food was delicious! My husband and I shared a cup of gumbo and crab cakes to start. I got the blackened red fish-the mustard greens were delish! And my husband got the shrimp po boy. We both liked my dish better than his, although we enjoyed the whole experience! Prime location!"
#NAME?,"Wow, this place definitely lives up to its reviews. I visited a couple weeks ago on a wknd trip to Nashville, and hot chicken was on my ""must try"" list. I chose to go with the mild tenders, as I didn't want to hurt myself (lol).  The chicken is delicious, very moist and fried well. At first I was afraid I had gone too light on the spice, but after a few bites the heat started to build, and I knew I made the right choice. I got mac & cheese and greens as my sides, thinking they would help cool my palate...I was wrong! Both had a bit of a kick too them. 
The only downside was the wait, but I came prepared with a book in hand. Can't wait to stop by again next time I visit Nashville.",,
#NAME?,,"Fried oysters, fried oysters, waiting months to go and order these.  Had twice on the trip!  I heard the debris roast beef sandwich was good too.  Crazy though, so you better show up EARLY if you want to get seated.",
#NAME?,,,The wait was long but worth it! Staff was great and friendly. Our meal was great along with our appetizer. We celebrated our one year wedding anniversary here and glad we chose this gem. Very popular and always busy but worth the wait! The grilled shrimp plate was amazing!!!
